address,area,baths,beds,original_link,price,time_stamp
"1299 Weathersfield Way,SAN JOSE, CA 95118","1,370 sqft",2,3,https://www.redfin.com/CA/San-Jose/1299-Weathersfield-Way-95118/home/696380,"$1,575,000",2022-12-13 20:51:32
"1274 Bouret Dr #4,SAN JOSE, CA 95118",798 sqft,1,2,https://www.redfin.com/CA/San-Jose/1274-Bouret-Dr-95118/unit-4/home/1269737,"$575,000",2022-12-13 20:52:27
"5702 Tubac Ln,SAN JOSE, CA 95118","1,574 sqft",2,3,https://www.redfin.com/CA/San-Jose/5702-Tubac-Ln-95118/home/1584909,"$1,749,999",2022-12-13 20:53:07
"5676 Holland Ln,SAN JOSE, CA 95118","1,198 sqft",1.5,3,https://www.redfin.com/CA/San-Jose/5676-Holland-Ln-95118/home/1469207,"$1,318,000",2022-12-13 20:54:03
"1589 Branham Ln,SAN JOSE, CA 95118","2,117 sqft",4,4,https://www.redfin.com/CA/San-Jose/1589-Branham-Ln-95118/home/773927,"$1,349,900",2022-12-13 20:54:50
"1332 Crestwood Dr,SAN JOSE, CA 95118","2,795 sqft",3,4,https://www.redfin.com/CA/San-Jose/1332-Crestwood-Dr-95118/home/1778315,"$2,398,888",2022-12-13 20:55:48
"1289 Kimberly Dr,SAN JOSE, CA 95118","1,360 sqft",2,3,https://www.redfin.com/CA/San-Jose/1289-Kimberly-Dr-95118/home/1334766,"$1,349,888",2022-12-13 20:56:52
"1459 Princeton Dr,SAN JOSE, CA 95118","1,946 sqft",3,6,https://www.redfin.com/CA/San-Jose/1459-Princeton-Dr-95118/home/918554,"$1,399,800",2022-12-13 20:57:34
"1501 Kooser Rd,SAN JOSE, CA 95118","1,893 sqft",3,5,https://www.redfin.com/CA/San-Jose/1501-Kooser-Rd-95118/home/1535021,"$1,350,000",2022-12-13 20:58:40
"4607 Capay Dr #3,San Jose, CA 95118",903 sqft,1,2,https://www.redfin.com/CA/San-Jose/4607-Capay-Dr-95118/unit-3/home/926219,"$549,000",2022-12-13 20:59:14
"1357 Bryan Ave,SAN JOSE, CA 95118","1,550 sqft",2,4,https://www.redfin.com/CA/San-Jose/1357-Bryan-Ave-95118/home/857837,"$1,500,000",2022-12-13 20:59:51
"1679 Branham Park Pl #15,San Jose, CA 95118",984 sqft,2,2,https://www.redfin.com/CA/San-Jose/1679-Branham-Park-Pl-95118/unit-15/home/180306073,"$685,000",2022-12-13 21:00:50
"4926 Paseo Tranquillo,SAN JOSE, CA 95118","1,483 sqft",2.5,3,https://www.redfin.com/CA/San-Jose/4926-Paseo-Tranquillo-95118/home/17291556,"$1,350,000",2022-12-13 21:01:37
"3820 Quinlan Ln,SAN JOSE, CA 95118","1,455 sqft",2,4,https://www.redfin.com/CA/San-Jose/3820-Quinlan-Ln-95118/home/1467665,"$1,598,000",2022-12-13 21:02:11
"1562 Hillsdale Ave,SAN JOSE, CA 95118","1,575 sqft",2,3,https://www.redfin.com/CA/San-Jose/1562-Hillsdale-Ave-95118/home/1453017,"$1,129,000",2022-12-13 21:02:59
"1293 Ashcroft Ln,SAN JOSE, CA 95118","1,176 sqft",2,3,https://www.redfin.com/CA/San-Jose/1293-Ashcroft-Ln-95118/home/1431177,"$1,350,000",2022-12-13 21:03:58
"5314 Joseph Ln,SAN JOSE, CA 95118","1,400 sqft",2,4,https://www.redfin.com/CA/San-Jose/5314-Joseph-Ln-95118/home/949248,"$1,038,000",2022-12-13 21:04:48
"1498 Bergerac Dr,SAN JOSE, CA 95118","2,565 sqft",3,5,https://www.redfin.com/CA/San-Jose/1498-Bergerac-Dr-95118/home/920436,"$2,399,999",2022-12-13 21:05:44
"5677 Coniston Way,SAN JOSE, CA 95118","1,555 sqft",2,4,https://www.redfin.com/CA/San-Jose/5677-Coniston-Way-95118/home/1086855,"$1,468,000",2022-12-13 21:06:27
"4098 Rivoir Dr,SAN JOSE, CA 95118","1,320 sqft",2,3,https://www.redfin.com/CA/San-Jose/4098-Rivoir-Dr-95118/home/1766253,"$1,499,000",2022-12-13 21:07:02
"1244 Sierra Mar Dr,SAN JOSE, CA 95118","1,248 sqft",2,4,https://www.redfin.com/CA/San-Jose/1244-Sierra-Mar-Dr-95118/home/855535,"$1,299,000",2022-12-13 21:07:55
"3210 Ensalmo Ave,San Jose, CA 95118","1,140 sqft",1,4,https://www.redfin.com/CA/San-Jose/3210-Ensalmo-Ave-95118/home/1361208,"$998,000",2022-12-13 21:08:45
"1479 Blackstone Ave,SAN JOSE, CA 95118","1,721 sqft",2,3,https://www.redfin.com/CA/San-Jose/1479-Blackstone-Ave-95118/home/553639,"$1,400,000",2022-12-13 21:09:35
"3338 Wilcox Ave,SAN JOSE, CA 95118","1,789 sqft",3,4,https://www.redfin.com/CA/San-Jose/3338-Wilcox-Ave-95118/home/803102,"$1,649,000",2022-12-13 21:10:10
"1333 Cherry Ct,SAN JOSE, CA 95118","1,200 sqft",2,3,https://www.redfin.com/CA/San-Jose/1333-Cherry-Ct-95118/home/1533484,"$1,299,000",2022-12-13 21:10:58
"1664 Branham Park Ct,SAN JOSE, CA 95118",984 sqft,2,2,https://www.redfin.com/CA/San-Jose/1664-Branham-Park-Ct-95118/home/1220358,"$660,000",2022-12-13 21:12:04
"5553 Makati Cir,SAN JOSE, CA 95123","1,874 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/5553-Makati-Cir-95123/home/1714452,"$948,888",2022-12-14 18:07:38
"2008 La Terrace Cir,SAN JOSE, CA 95123",650 sqft,1,1,https://www.redfin.com/CA/San-Jose/2008-La-Terrace-Cir-95123/home/1001701,"$475,000",2022-12-14 18:08:24
"178 Manton Dr,San Jose, CA 95123","2,186 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/178-Manton-Dr-95123/home/1811796,"$1,299,000",2022-12-14 18:09:13
"482 Suisse Dr,SAN JOSE, CA 95123","2,509 sqft",3,5,https://www.redfin.com/CA/San-Jose/482-Suisse-Dr-95123/home/1290756,"$1,569,000",2022-12-14 18:10:16
"6149 Valley Glen Dr,SAN JOSE, CA 95123","1,843 sqft",2,4,https://www.redfin.com/CA/San-Jose/6149-Valley-Glen-Dr-95123/home/1530854,"$1,849,000",2022-12-14 18:11:12
"5491 Sean Cir #127,San Jose, CA 95123","1,245 sqft",2,3,https://www.redfin.com/CA/San-Jose/5491-Sean-Cir-95123/unit-127/home/993145,"$750,000",2022-12-14 18:11:58
"5690 Makati Cir Unit A,SAN JOSE, CA 95123",989 sqft,2,2,https://www.redfin.com/CA/San-Jose/5690-Makati-Cir-95123/unit-A/home/617100,"$612,000",2022-12-14 18:12:43
"816 Rosepoint Loop,SAN JOSE, CA 95123","2,165 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/816-Rosepoint-Loop-95123/home/95957898,"$1,450,000",2022-12-14 18:13:17
"404 Don Andres Ct,SAN JOSE, CA 95123",950 sqft,1.5,2,https://www.redfin.com/CA/San-Jose/404-Don-Andres-Ct-95123/home/1537283,"$624,999",2022-12-14 18:14:00
"733 Colleen Dr,SAN JOSE, CA 95123","1,232 sqft",2,3,https://www.redfin.com/CA/San-Jose/733-Colleen-Dr-95123/home/1611529,"$1,325,000",2022-12-14 18:14:57
"5374 Landau Ct,SAN JOSE, CA 95123","1,281 sqft",2,3,https://www.redfin.com/CA/San-Jose/5374-Landau-Ct-95123/home/1538970,"$1,099,000",2022-12-14 18:15:57
"165 Blossom Hill Rd #116,SAN JOSE, CA 95123","1,050 sqft",2,3,https://www.redfin.com/CA/San-Jose/165-Blossom-Hill-Rd-95123/unit-116/home/575851,"$340,000",2022-12-14 18:17:05
"611 Avenue One,SAN JOSE, CA 95123","2,205 sqft",3.5,4,https://www.redfin.com/CA/San-Jose/611-Ave-One-Dr-95123/home/95957947,"$1,249,800",2022-12-14 18:17:54
"344 Colville Dr,SAN JOSE, CA 95123","2,924 sqft",3,6,https://www.redfin.com/CA/San-Jose/344-Colville-Dr-95123/home/1219907,"$1,679,800",2022-12-14 18:18:48
"5719 Makati Cir Unit D,SAN JOSE, CA 95123",690 sqft,1,1,https://www.redfin.com/CA/San-Jose/5719-Makati-Cir-95123/unit-D/home/1389941,"$425,000",2022-12-14 18:19:22
"5855 Ettersberg Dr,SAN JOSE, CA 95123","1,664 sqft",2,4,https://www.redfin.com/CA/San-Jose/5855-Ettersberg-Dr-95123/home/866129,"$1,198,888",2022-12-14 18:20:19
"826 Blossom Hill Rd #1,SAN JOSE, CA 95123",810 sqft,1,2,https://www.redfin.com/CA/San-Jose/826-Blossom-Hill-Rd-95123/unit-1/home/1654419,"$545,000",2022-12-14 18:21:16
"5555 Judith St #3,SAN JOSE, CA 95123",903 sqft,1,2,https://www.redfin.com/CA/San-Jose/5555-Judith-St-95123/unit-3/home/1481342,"$518,888",2022-12-14 18:22:11
"6109 Snowberry Ct,SAN JOSE, CA 95123","1,336 sqft",2,3,https://www.redfin.com/CA/San-Jose/6109-Snowberry-Ct-95123/home/1656442,"$1,198,000",2022-12-14 18:22:48
"532 Giuffrida Ave #11,SAN JOSE, CA 95123",812 sqft,2,2,https://www.redfin.com/CA/San-Jose/532-Giuffrida-Ave-95123/unit-11/home/735724,"$573,888",2022-12-14 18:23:40
"5821 Chris Dr,SAN JOSE, CA 95123","1,260 sqft",2,3,https://www.redfin.com/CA/San-Jose/5821-Chris-Dr-95123/home/1492121,"$1,449,000",2022-12-14 18:24:43
"5475 Eagles Ln #4,SAN JOSE, CA 95123",798 sqft,1,2,https://www.redfin.com/CA/San-Jose/5475-Eagles-Ln-95123/unit-4/home/994427,"$480,000",2022-12-14 18:25:37
"275 Tradewinds Dr #14,SAN JOSE, CA 95123",722 sqft,1,1,https://www.redfin.com/CA/San-Jose/275-Tradewinds-Dr-95123/unit-14/home/1825479,"$468,888",2022-12-14 18:26:28
"275 Tradewinds Dr #11,SAN JOSE, CA 95123",722 sqft,1,1,https://www.redfin.com/CA/San-Jose/275-Tradewinds-Dr-95123/unit-11/home/877020,"$445,000",2022-12-14 18:27:25
"914 Foothill Dr,SAN JOSE, CA 95123","1,903 sqft",2.5,3,https://www.redfin.com/CA/San-Jose/914-Foothill-Dr-95123/home/1243875,"$1,549,999",2022-12-14 18:28:14
"2342 La Terrace Cir,San Jose, CA 95123","1,138 sqft",2,2,https://www.redfin.com/CA/San-Jose/2342-La-Terrace-Cir-95123/home/1421509,"$739,000",2022-12-14 18:28:48
"281 Tradewinds Dr #3,SAN JOSE, CA 95123",722 sqft,1,1,https://www.redfin.com/CA/San-Jose/281-Tradewinds-Dr-95123/unit-3/home/604074,"$429,000",2022-12-14 18:29:29
"309 Tradewinds Dr #5,SAN JOSE, CA 95123",732 sqft,1,1,https://www.redfin.com/CA/San-Jose/309-Tradewinds-Dr-95123/unit-5/home/655951,"$450,000",2022-12-14 18:30:34
"421 Ellicott Loop,SAN JOSE, CA 95123","2,370 sqft",3.5,4,https://www.redfin.com/CA/San-Jose/421-Ellicott-Loop-95123/home/105543900,"$1,135,000",2022-12-14 18:31:33
"197 Herlong Ave,SAN JOSE, CA 95123","2,186 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/197-Herlong-Ave-95123/home/1133093,"$1,395,000",2022-12-14 18:32:24
"195 Blossom Hill Rd #145,SAN JOSE, CA 95123","1,720 sqft",2,3,https://www.redfin.com/CA/San-Jose/195-Blossom-Hill-Rd-95123/unit-145/home/63740940,"$385,000",2022-12-14 18:33:04
"5847 Comanche Dr,SAN JOSE, CA 95123","1,037 sqft",2,3,https://www.redfin.com/CA/San-Jose/5847-Comanche-Dr-95123/home/987276,"$1,150,000",2022-12-14 18:33:50
"5770 Winfield Blvd #161 #161,SAN JOSE, CA 95123","1,713 sqft",2,3,https://www.redfin.com/CA/San-Jose/5770-Winfield-Blvd-95123/unit-161/home/1270001,"$439,900",2022-12-14 18:34:55
"5557 Great Oaks Pkwy,SAN JOSE, CA 95123","1,531 sqft",3.5,3,https://www.redfin.com/CA/San-Jose/5557-Great-Oaks-Pkwy-95123/home/143042361,"$888,000",2022-12-14 18:35:54
"3310 La Terrace Cir,SAN JOSE, CA 95123",650 sqft,1,1,https://www.redfin.com/CA/San-Jose/3310-La-Terrace-Cir-95123/home/777535,"$488,000",2022-12-14 18:36:35
"300 Ribbonwood Ave,SAN JOSE, CA 95123",981 sqft,2,2,https://www.redfin.com/CA/San-Jose/300-Ribbonwood-Ave-95123/home/1844765,"$738,000",2022-12-14 18:37:38
"6028 Cahalan Ave,SAN JOSE, CA 95123","1,576 sqft",2,3,https://www.redfin.com/CA/San-Jose/6028-Cahalan-Ave-95123/home/1332071,"$1,125,000",2022-12-14 18:38:17
"224 Coy Dr #3,SAN JOSE, CA 95123",903 sqft,1,2,https://www.redfin.com/CA/San-Jose/224-Coy-Dr-95123/unit-3/home/993865,"$498,000",2022-12-14 18:39:17
"5612 Calmor Ave #2,SAN JOSE, CA 95123",903 sqft,1,2,https://www.redfin.com/CA/San-Jose/5612-Calmor-Ave-95123/unit-2/home/1555431,"$520,000",2022-12-14 18:40:19
"409 Fieldcrest Dr,SAN JOSE, CA 95123","2,186 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/409-Fieldcrest-Dr-95123/home/989186,"$1,599,000",2022-12-14 18:40:58
"779 Regent Park Dr,SAN JOSE, CA 95123","1,910 sqft",2,5,https://www.redfin.com/CA/San-Jose/779-Regent-Park-Dr-95123/home/1085776,"$999,000",2022-12-14 18:41:38
"244 Primrose Dr,SAN JOSE, CA 95123","2,595 sqft",3,5,https://www.redfin.com/CA/San-Jose/244-Primrose-Dr-95123/home/990628,"$1,848,950",2022-12-14 18:42:32
"744 Homeward Pl,SAN JOSE, CA 95123","2,563 sqft",3.5,5,https://www.redfin.com/CA/San-Jose/744-Homeward-Pl-95123/home/1037873,"$1,698,000",2022-12-14 18:43:07
"5647 Comanche Dr,SAN JOSE, CA 95123","1,686 sqft",2,3,https://www.redfin.com/CA/San-Jose/5647-Comanche-Dr-95123/home/1067464,"$1,248,000",2022-12-14 18:43:55
"5664 Herma St,SAN JOSE, CA 95123","1,826 sqft",2,4,https://www.redfin.com/CA/San-Jose/5664-Herma-St-95123/home/1054266,"$1,199,000",2022-12-14 18:44:58
"910 Windsor Hills Cir,SAN JOSE, CA 95123","1,890 sqft",2.5,3,https://www.redfin.com/CA/San-Jose/910-Windsor-Hills-Cir-95123/home/1092874,"$1,488,000",2022-12-14 18:46:03
"6231 Hokett Way,SAN JOSE, CA 95123","1,409 sqft",2,3,https://www.redfin.com/CA/San-Jose/6231-Hokett-Way-95123/home/853280,"$1,275,000",2022-12-14 18:46:43
"5222 Jacana Ct,SAN JOSE, CA 95123","1,052 sqft",2.5,2,https://www.redfin.com/CA/San-Jose/5222-Jacana-Ct-95123/home/1147288,"$775,000",2022-12-14 18:47:49
"6215 Solomon Ct,SAN JOSE, CA 95123","1,475 sqft",2,4,https://www.redfin.com/CA/San-Jose/6215-Solomon-Ct-95123/home/1444119,"$1,299,000",2022-12-14 18:48:50
"5772 Herma St,SAN JOSE, CA 95123","1,826 sqft",2,4,https://www.redfin.com/CA/San-Jose/5772-Herma-St-95123/home/777443,"$1,249,000",2022-12-14 18:49:53
"5688 Makati Cir Unit F,SAN JOSE, CA 95123",989 sqft,2,2,https://www.redfin.com/CA/San-Jose/5688-Makati-Cir-95123/unit-F/home/996332,"$595,000",2022-12-14 18:50:29
"5441 Makati Cir,SAN JOSE, CA 95123",924 sqft,1,2,https://www.redfin.com/CA/San-Jose/5441-Makati-Cir-95123/home/1233518,"$550,000",2022-12-14 18:51:30
"5933 Sunstone Dr #319,SAN JOSE, CA 95123","1,379 sqft",2,2,https://www.redfin.com/CA/San-Jose/5933-Sunstone-Dr-95123/unit-319/home/168907044,"$839,900",2022-12-14 18:52:21
"280 Tradewinds Dr #3,SAN JOSE, CA 95123",959 sqft,1,2,https://www.redfin.com/CA/San-Jose/280-Tradewinds-Dr-95123/unit-3/home/993514,"$550,000",2022-12-14 18:53:12
"5896 Erskine Ct,SAN JOSE, CA 95123","1,683 sqft",2,4,https://www.redfin.com/CA/San-Jose/5896-Erskine-Ct-95123/home/1080473,"$1,199,000",2022-12-14 18:53:57
"5385 Federation Ct,SAN JOSE, CA 95123","1,580 sqft",2,5,https://www.redfin.com/CA/San-Jose/5385-Federation-Ct-95123/home/990301,"$1,090,000",2022-12-14 18:54:41
"6434 Hesket Ct,San Jose, CA 95123","2,386 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/6434-Hesket-Ct-95123/home/1637715,"$1,524,000",2022-12-14 18:55:40
"397 Utica Ln,SAN JOSE, CA 95123","1,475 sqft",2,4,https://www.redfin.com/CA/San-Jose/397-Utica-Ln-95123/home/1588576,"$1,358,000",2022-12-14 18:56:40
"148 Venado Way,SAN JOSE, CA 95123","2,186 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/148-Venado-Way-95123/home/1782639,"$1,350,000",2022-12-14 18:57:45
"878 Tallman Ct,SAN JOSE, CA 95123","1,465 sqft",2,3,https://www.redfin.com/CA/San-Jose/878-Tallman-Ct-95123/home/996141,"$1,399,900",2022-12-14 18:58:24
"876 Renton Ct,SAN JOSE, CA 95123","1,650 sqft",2,4,https://www.redfin.com/CA/San-Jose/876-Renton-Ct-95123/home/1444440,"$1,275,000",2022-12-14 18:59:04
"5921 Indian Ave,SAN JOSE, CA 95123","2,074 sqft",3,5,https://www.redfin.com/CA/San-Jose/5921-Indian-Ave-95123/home/984368,"$1,398,000",2022-12-14 18:59:55
"402 Bangor Ave,SAN JOSE, CA 95123","1,940 sqft",2,5,https://www.redfin.com/CA/San-Jose/402-Bangor-Ave-95123/home/1539162,"$1,429,000",2022-12-14 19:00:58
"5327 Mango Blossom Ct,SAN JOSE, CA 95123","1,536 sqft",2,3,https://www.redfin.com/CA/San-Jose/5327-Mango-Blossom-Ct-95123/home/1627672,"$1,348,000",2022-12-14 19:02:04
"5551 Spinnaker Dr #4,SAN JOSE, CA 95123",798 sqft,1,2,https://www.redfin.com/CA/San-Jose/5551-Spinnaker-Dr-95123/unit-4/home/1637813,"$469,000",2022-12-14 19:03:03
"208 Litchi Grove Ct,SAN JOSE, CA 95123","1,439 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/208-Litchi-Grove-Ct-95123/home/670059,"$789,999",2022-12-14 19:03:44
"5865 Paddon Cir,SAN JOSE, CA 95123","1,675 sqft",2,3,https://www.redfin.com/CA/San-Jose/5865-Paddon-Cir-95123/home/994674,"$1,098,888",2022-12-14 19:04:28
"489 Velasco Dr,SAN JOSE, CA 95123","1,439 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/489-Velasco-Dr-95123/home/1778587,"$700,000",2022-12-14 19:05:16
"5182 Makati Cir,SAN JOSE, CA 95123",744 sqft,1,1,https://www.redfin.com/CA/San-Jose/5182-Makati-Cir-95123/home/557983,"$395,000",2022-12-14 19:06:08
